                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.96778,                0.54756,                   1.21,                0.54237,                0.56518,                0.52774,                 0.2526,                  1.991,                 1.1608,                 2.2654,             0.00022215,             0.00022215,             0.00022215
                     66,                0.97426,                0.54884,                 1.2039,                0.62936,                0.52821,                0.54893,                0.25713,                 1.9761,                 1.1472,                 2.2509,              0.0002152,              0.0002152,              0.0002152
                     67,                0.97602,                 0.5522,                  1.209,                0.63702,                0.51057,                0.51906,                0.25122,                 1.9929,                  1.175,                 2.2652,             0.00020824,             0.00020824,             0.00020824
                     68,                 0.9559,                0.54275,                 1.1976,                0.54228,                0.55798,                0.52762,                0.24779,                  2.008,                 1.1541,                 2.2917,             0.00020129,             0.00020129,             0.00020129
                     69,                0.96219,                0.53758,                 1.1989,                0.55308,                0.55629,                 0.5297,                0.25156,                 2.0014,                 1.1623,                  2.302,             0.00019434,             0.00019434,             0.00019434
                     70,                0.95225,                0.54025,                 1.2015,                0.64609,                0.52144,                0.52922,                0.25365,                 2.0069,                 1.1692,                 2.3125,             0.00018739,             0.00018739,             0.00018739
                     71,                0.95255,                0.53583,                 1.1961,                0.65652,                0.50028,                0.51585,                0.24925,                 2.0082,                 1.1627,                 2.3092,             0.00018044,             0.00018044,             0.00018044
                     72,                0.94573,                0.52859,                 1.1918,                0.53766,                0.56163,                0.52135,                0.24612,                 2.0024,                 1.1806,                 2.3097,             0.00017349,             0.00017349,             0.00017349
                     73,                0.93669,                  0.526,                 1.1857,                0.69732,                0.48863,                0.51875,                0.25096,                  1.982,                  1.147,                 2.2819,             0.00016654,             0.00016654,             0.00016654
                     74,                0.92837,                 0.5212,                 1.1815,                0.54092,                0.51553,                0.51193,                0.24573,                 1.9993,                 1.1673,                  2.318,             0.00015959,             0.00015959,             0.00015959
                     75,                0.92095,                0.51808,                 1.1782,                 0.5558,                0.50664,                0.51266,                0.24787,                  1.998,                 1.1609,                 2.3039,             0.00015264,             0.00015264,             0.00015264
                     76,                0.92289,                0.51589,                 1.1739,                0.55839,                0.50768,                 0.5254,                0.25185,                 2.0004,                 1.1659,                 2.3244,             0.00014569,             0.00014569,             0.00014569
                     77,                0.91301,                0.51146,                 1.1747,                0.63173,                0.52622,                0.51921,                0.24835,                 1.9989,                 1.1566,                 2.3144,             0.00013874,             0.00013874,             0.00013874
                     78,                0.90858,                0.50959,                 1.1645,                0.67062,                0.51289,                0.52056,                 0.2507,                  1.997,                 1.1822,                  2.323,             0.00013179,             0.00013179,             0.00013179
                     79,                0.90087,                0.50127,                 1.1605,                0.67318,                0.50156,                0.51648,                0.25026,                 1.9982,                 1.1724,                 2.3422,             0.00012483,             0.00012483,             0.00012483
